Model,RMSE (USD),MAE (USD),R2
Dummy (mean),44861.14422360633,35106.14867971953,-1.518798272925892e-05
Linear Regression,6339.636215287467,3925.838158999246,0.9800292406498835
PCA + Linear Regression,11428.853327267836,8066.470846836874,0.9350960360844125
Random Forest,5208.241471106135,3230.1512489033266,0.9865212963194517
Gradient Boosting,5137.772416863532,3143.8339435648854,0.9868835705169285
Neural Network (PyTorch MLP),18636.00157910568,14464.950236086033,0.8274275835985789
