Model,Loan Size,Rows,Actual Mean,Actual Median,Predicted Mean,MAE,Median AE,RMSE,R2,Mean Error (Pred - Actual)
HistGradientBoosting,Small (<$50K),69933,28625.453576995125,25000.0,60546.86475316581,35489.58127397035,21449.336270236323,58691.78672332346,-14.471586033677427,31921.4111761707
HistGradientBoosting,Medium ($50K-$250K),70098,128134.75746811606,110000.0,175560.74922610293,83473.36328489894,52724.805859703105,125643.53613358711,-4.271526513523312,47425.9917579869
HistGradientBoosting,Large (>$250K),39802,594327.3121451184,475000.0,455465.6233759695,237138.35804728395,162718.88981500524,347625.72022827464,0.133724043718786,-138861.6887691488
LightGBM,Small (<$50K),69933,28625.453576995125,25000.0,60084.98934123362,35054.64870636377,21232.6192309116,58031.35661630275,-14.125356577977566,31459.535764238488
LightGBM,Medium ($50K-$250K),70098,128134.75746811606,110000.0,174946.39701338328,82796.34328919112,52325.06809038653,124739.71618831085,-4.195957580385022,46811.63954526722
LightGBM,Large (>$250K),39802,594327.3121451184,475000.0,457086.9110724453,235646.490951821,161004.12588110392,345620.7956859289,0.14368768733150894,-137240.40107267306
XGBoost,Small (<$50K),69933,28625.453576995125,25000.0,60043.52734375,35352.40963551254,21346.71875,58518.365123623626,-14.380290697575669,31418.07426290826
XGBoost,Medium ($50K-$250K),70098,128134.75746811606,110000.0,175756.25,82428.67328134835,51753.0078125,124239.15405393999,-4.1543400237311525,47621.49628795106
XGBoost,Large (>$250K),39802,594327.3121451184,475000.0,455979.78125,235875.97727579644,160446.421875,346966.73956047697,0.13700526255378942,-138347.5401840674
