Split,Strategy,Model,Segment,Rows,Actual Mean,Actual Median,Predicted Mean,MAE,Median AE,RMSE,R2,RMSLE,Mean Error (Pred - Actual),Fit Seconds
Train,Tuned Single Segment Model,HistGradientBoosting,Small (<$50K),223397,28551.00815588392,25000.0,28531.39477369999,9661.207100870868,8794.076560522954,11725.517680372266,0.3798254207234295,0.5296550562965892,-19.61338218393312,24.68
Train,Tuned Single Segment Model,LightGBM,Small (<$50K),223397,28551.00815588392,25000.0,28550.8604346092,10153.3684656764,9366.763907515851,12226.781296478528,0.3256673361999589,0.5537836185903872,-0.14772127472037289,4.29
Train,Tuned Single Segment Model,XGBoost,Small (<$50K),223397,28551.00815588392,25000.0,28552.423828125,10392.594621364236,9702.765625,12450.48873425748,0.3007657251141186,0.5657661802770457,1.4162146470884793,10.05
Train,Tuned Single Segment Model,HistGradientBoosting,Medium ($50K-$250K),224933,128183.68220314494,110000.0,128210.36779496528,36131.07862369199,30196.29106193199,45531.1453814479,0.3080375035787095,0.35966935766853675,26.685591820344214,56.7
Train,Tuned Single Segment Model,XGBoost,Medium ($50K-$250K),224933,128183.68220314494,110000.0,128169.3671875,36284.70800447383,30392.53125,45679.952197468825,0.30350711022162513,0.3608971511967453,-14.335056751621593,79.74
Train,Tuned Single Segment Model,LightGBM,Medium ($50K-$250K),224933,128183.68220314494,110000.0,128181.52990352456,37137.761590905626,32453.583212562007,46340.17251473826,0.2832285504042198,0.36753247418992313,-2.1522996203797917,5.15
Train,Tuned Single Segment Model,XGBoost,Large ($250K-$750K),98531,434914.88298099075,400000.0,434912.0,103661.28327664644,93253.375,125719.35785688361,0.17215895931147251,0.284130670877308,-2.8971830566014756,15.38
Train,Tuned Single Segment Model,HistGradientBoosting,Large ($250K-$750K),98531,434914.88298099075,400000.0,435106.7082564934,103620.39025613666,92946.0247110211,125845.31175155523,0.17049935752564693,0.2843653128326843,191.82527550260065,25.38
Train,Tuned Single Segment Model,LightGBM,Large ($250K-$750K),98531,434914.88298099075,400000.0,434918.14361032366,104173.7489572906,93828.31883470475,126278.53972261482,0.16477834278920267,0.2853152162370142,3.260629332933804,2.08
Train,Tuned Single Segment Model,XGBoost,Very Large (>$750K),28603,1149702.1809950005,1000000.0,1149539.0,224441.1206057931,174798.5,311103.46510854526,0.4208534643067956,0.2328836021287676,-163.201650613572,4.48
Train,Tuned Single Segment Model,LightGBM,Very Large (>$750K),28603,1149702.1809950005,1000000.0,1149674.3948673082,229330.20604669882,184395.1051066732,328425.4050534773,0.3545653829078733,0.23507511415020266,-27.786127692495032,1.26
Train,Tuned Single Segment Model,HistGradientBoosting,Very Large (>$750K),28603,1149702.1809950005,1000000.0,1149752.8821811797,239556.99494485173,182469.23760629795,345893.77002668683,0.2840804106911168,0.24874913606285523,50.701186179144386,8.08
Validation,Tuned Single Segment Model,HistGradientBoosting,Small (<$50K),56006,28606.7171017391,25000.0,28529.025489362146,9986.517281319286,9085.477877370897,12107.316619729152,0.34471142280879885,0.5386954414928126,-77.69161237695091,
Validation,Tuned Single Segment Model,LightGBM,Small (<$50K),56006,28606.7171017391,25000.0,28560.86856498252,10243.609064506316,9469.57990911472,12315.54000403751,0.321978108387307,0.5530536690982633,-45.84853675658217,
Validation,Tuned Single Segment Model,XGBoost,Small (<$50K),56006,28606.7171017391,25000.0,28562.02734375,10452.93393094183,9813.078125,12499.510527624003,0.3015701196412235,0.5640132298332633,-44.68814571764632,
Validation,Tuned Single Segment Model,HistGradientBoosting,Medium ($50K-$250K),56094,128263.80361535994,110000.0,128421.03558359075,36504.76635970133,30432.388458533875,46015.49404881554,0.29472770313323926,0.36356864749858864,157.23196823083066,
Validation,Tuned Single Segment Model,XGBoost,Medium ($50K-$250K),56094,128263.80361535994,110000.0,128317.328125,36598.13583017457,30587.88671875,46103.396506731326,0.29203059496439954,0.36418665279526974,53.524839025787074,
Validation,Tuned Single Segment Model,LightGBM,Medium ($50K-$250K),56094,128263.80361535994,110000.0,128329.843880641,37513.12069003133,32673.756884131275,46790.37963461445,0.27077460506587825,0.3711153978509344,66.04026528105796,
Validation,Tuned Single Segment Model,XGBoost,Large ($250K-$750K),24602,434429.76066986425,400000.0,434452.09375,105699.62236810016,95629.5,128231.26651580443,0.1290554567726665,0.2900810296727474,22.28595998292822,
Validation,Tuned Single Segment Model,HistGradientBoosting,Large ($250K-$750K),24602,434429.76066986425,400000.0,434648.9552936839,105610.15464614765,95498.58649975638,128237.36009066566,0.12897267989590122,0.290118989458322,219.19462381972411,
Validation,Tuned Single Segment Model,LightGBM,Large ($250K-$750K),24602,434429.76066986425,400000.0,434481.110166226,105747.27683812678,96037.84723794891,128252.64985883638,0.1287649619620984,0.2901578386032123,51.34949636181653,
Validation,Tuned Single Segment Model,XGBoost,Very Large (>$750K),7165,1142306.2854152129,1000000.0,1148437.625,243609.27680565248,182748.125,354008.36153763393,0.23399553368304415,0.2551101744843798,6131.355033147243,
Validation,Tuned Single Segment Model,HistGradientBoosting,Very Large (>$750K),7165,1142306.2854152129,1000000.0,1147926.7121943373,245161.44978284257,185226.40746870567,354245.5511144645,0.23296872662674328,0.2560888876080095,5620.4267791243155,
Validation,Tuned Single Segment Model,LightGBM,Very Large (>$750K),7165,1142306.2854152129,1000000.0,1148043.6790584642,247350.7615490328,192902.2332151872,358346.9627728558,0.21510471967777833,0.25674791968412236,5737.393643251205,
Test,Tuned Single Segment Model,HistGradientBoosting,Small (<$50K),69933,28625.453576995125,25000.0,28583.375221080492,9963.942085414465,9051.504403563624,12091.884446539683,0.34329828296238385,0.5416092843162197,-42.078355914634116,
Test,Tuned Single Segment Model,LightGBM,Small (<$50K),69933,28625.453576995125,25000.0,28617.752242671515,10230.454984849071,9424.863300529396,12318.623181646857,0.31843933726551266,0.557198401039064,-7.701334323605373,
Test,Tuned Single Segment Model,XGBoost,Small (<$50K),69933,28625.453576995125,25000.0,28616.498046875,10432.562167985787,9746.78125,12499.354054547484,0.29829379772138986,0.5680864864866819,-8.956670832484306,
Test,Tuned Single Segment Model,HistGradientBoosting,Medium ($50K-$250K),70098,128134.75746811606,110000.0,128200.73814014584,36525.32460273894,30494.254343418652,46046.33213480082,0.2919789379355816,0.3632553964906034,65.9806720297708,
Test,Tuned Single Segment Model,XGBoost,Medium ($50K-$250K),70098,128134.75746811606,110000.0,128101.9921875,36608.009811710035,30663.859375,46127.25857234788,0.2894880566908249,0.36384791934653987,-32.75898496569089,
Test,Tuned Single Segment Model,LightGBM,Medium ($50K-$250K),70098,128134.75746811606,110000.0,128123.74496859555,37459.02365757509,32601.681522004874,46813.047703283526,0.2682041772295821,0.37054424640115463,-11.012499520526168,
Test,Tuned Single Segment Model,HistGradientBoosting,Large ($250K-$750K),30820,433880.795587281,400000.0,435045.99435327714,105893.69594733478,95169.76296270386,128600.08659826011,0.13663545628738227,0.2903075366648369,1165.1987659961894,
Test,Tuned Single Segment Model,XGBoost,Large ($250K-$750K),30820,433880.795587281,400000.0,434761.75,105990.63297878813,95224.5625,128620.71519310244,0.13635845140681924,0.290291418963152,880.9771343689163,
Test,Tuned Single Segment Model,LightGBM,Large ($250K-$750K),30820,433880.795587281,400000.0,434769.3944002728,106151.62334838074,95712.92948535722,128758.69194828869,0.1345045296091344,0.290628643951741,888.5988129917895,
Test,Tuned Single Segment Model,XGBoost,Very Large (>$750K),8982,1144868.576931641,1000000.0,1146286.125,238943.91812792252,181817.625,342497.6012748605,0.2714095385747387,0.25015226430163884,1417.6113337786685,
Test,Tuned Single Segment Model,HistGradientBoosting,Very Large (>$750K),8982,1144868.576931641,1000000.0,1146369.73289332,241641.924499074,184325.29738384532,346290.1072563915,0.2551847115374176,0.2525155077674296,1501.1559616789693,
